"","name","position","team","season","stat_type","stats"
"88","A.J. Derby","TE","MIA",2017,"target_share",0.22815838
"89","A.J. Derby","TE","MIA",2017,"air_yards_share",0.2715488
"90","A.J. Derby","TE","MIA",2017,"fantasy_points",2
"91","A.J. Derby","TE","MIA",2017,"fantasy_points_ppr",4
"92","A.J. Derby","TE","MIA",2017,"total_yards",20
"93","A.J. Derby","TE","MIA",2017,"games",2
"94","A.J. Derby","TE","MIA",2017,"touches",2
"95","A.J. Derby","TE","MIA",2017,"rush_td_percentage",0
"96","A.J. Derby","TE","MIA",2017,"rec_td_percentage",0
"97","A.J. Derby","TE","MIA",2017,"total_tds",0
"98","A.J. Derby","TE","MIA",2017,"td_percentage",0
"99","A.J. Derby","TE","MIA",2017,"pass_ypg",0
"100","A.J. Derby","TE","MIA",2017,"rush_ypg",0
"101","A.J. Derby","TE","MIA",2017,"rec_ypg",10
"102","A.J. Derby","TE","MIA",2017,"ppg",1
"103","A.J. Derby","TE","MIA",2017,"ppr_ppg",2
"104","A.J. Derby","TE","MIA",2017,"ypg",0
"105","A.J. Derby","TE","MIA",2017,"pr",33.87
"106","A.J. Derby","TE","MIA",2018,"carries",0
"107","A.J. Derby","TE","MIA",2018,"rushing_yards",0
"108","A.J. Derby","TE","MIA",2018,"rushing_tds",0
"109","A.J. Derby","TE","MIA",2018,"rushing_fumbles",0
"110","A.J. Derby","TE","MIA",2018,"rushing_fumbles_lost",0
"111","A.J. Derby","TE","MIA",2018,"rushing_first_downs",0
"112","A.J. Derby","TE","MIA",2018,"rushing_2pt_conversions",0
"113","A.J. Derby","TE","MIA",2018,"receptions",3
"114","A.J. Derby","TE","MIA",2018,"targets",5
"115","A.J. Derby","TE","MIA",2018,"receiving_yards",48
"116","A.J. Derby","TE","MIA",2018,"receiving_tds",1
"117","A.J. Derby","TE","MIA",2018,"receiving_fumbles",0
"118","A.J. Derby","TE","MIA",2018,"receiving_fumbles_lost",0
"119","A.J. Derby","TE","MIA",2018,"receiving_air_yards",44
"120","A.J. Derby","TE","MIA",2018,"receiving_yards_after_catch",9
"121","A.J. Derby","TE","MIA",2018,"receiving_first_downs",3
"122","A.J. Derby","TE","MIA",2018,"receiving_2pt_conversions",0
"123","A.J. Derby","TE","MIA",2018,"target_share",0.18417874
"124","A.J. Derby","TE","MIA",2018,"air_yards_share",0.25227785
"125","A.J. Derby","TE","MIA",2018,"fantasy_points",10.8
"126","A.J. Derby","TE","MIA",2018,"fantasy_points_ppr",13.8
"127","A.J. Derby","TE","MIA",2018,"total_yards",48
"128","A.J. Derby","TE","MIA",2018,"games",3
"129","A.J. Derby","TE","MIA",2018,"touches",3
"130","A.J. Derby","TE","MIA",2018,"rush_td_percentage",0
"131","A.J. Derby","TE","MIA",2018,"rec_td_percentage",0.333
"132","A.J. Derby","TE","MIA",2018,"total_tds",1
"133","A.J. Derby","TE","MIA",2018,"td_percentage",0.333
"134","A.J. Derby","TE","MIA",2018,"pass_ypg",0
"135","A.J. Derby","TE","MIA",2018,"rush_ypg",0
"136","A.J. Derby","TE","MIA",2018,"rec_ypg",16
"137","A.J. Derby","TE","MIA",2018,"ppg",3.600000064
"138","A.J. Derby","TE","MIA",2018,"ppr_ppg",4.600000064
"139","A.J. Derby","TE","MIA",2018,"ypg",0
"140","A.J. Derby","TE","MIA",2018,"pr",33.87
"141","Aaron Hernandez","TE","NE",2012,"carries",1
"142","Aaron Hernandez","TE","NE",2012,"rushing_yards",5
"143","Aaron Hernandez","TE","NE",2012,"rushing_tds",0
"144","Aaron Hernandez","TE","NE",2012,"rushing_fumbles",0
"145","Aaron Hernandez","TE","NE",2012,"rushing_fumbles_lost",0
"146","Aaron Hernandez","TE","NE",2012,"rushing_first_downs",1
"147","Aaron Hernandez","TE","NE",2012,"rushing_2pt_conversions",0
"148","Aaron Hernandez","TE","NE",2012,"receptions",51
"149","Aaron Hernandez","TE","NE",2012,"targets",83
"150","Aaron Hernandez","TE","NE",2012,"receiving_yards",483
"151","Aaron Hernandez","TE","NE",2012,"receiving_tds",5
"152","Aaron Hernandez","TE","NE",2012,"receiving_fumbles",0
"153","Aaron Hernandez","TE","NE",2012,"receiving_fumbles_lost",0
"154","Aaron Hernandez","TE","NE",2012,"receiving_air_yards",596
"155","Aaron Hernandez","TE","NE",2012,"receiving_yards_after_catch",222
"156","Aaron Hernandez","TE","NE",2012,"receiving_first_downs",27
"157","Aaron Hernandez","TE","NE",2012,"receiving_2pt_conversions",0
"158","Aaron Hernandez","TE","NE",2012,"target_share",1.9711756
"159","Aaron Hernandez","TE","NE",2012,"air_yards_share",1.5920875
"160","Aaron Hernandez","TE","NE",2012,"fantasy_points",78.8
"161","Aaron Hernandez","TE","NE",2012,"fantasy_points_ppr",129.8
"162","Aaron Hernandez","TE","NE",2012,"total_yards",488
"163","Aaron Hernandez","TE","NE",2012,"games",10
"164","Aaron Hernandez","TE","NE",2012,"touches",52
"165","Aaron Hernandez","TE","NE",2012,"rush_td_percentage",0
"166","Aaron Hernandez","TE","NE",2012,"rec_td_percentage",0.098
"167","Aaron Hernandez","TE","NE",2012,"total_tds",5
"168","Aaron Hernandez","TE","NE",2012,"td_percentage",0.096
"169","Aaron Hernandez","TE","NE",2012,"pass_ypg",0
"170","Aaron Hernandez","TE","NE",2012,"rush_ypg",0.5
"171","Aaron Hernandez","TE","NE",2012,"rec_ypg",48.3
"172","Aaron Hernandez","TE","NE",2012,"ppg",7.880000305
"173","Aaron Hernandez","TE","NE",2012,"ppr_ppg",12.98000031
"174","Aaron Hernandez","TE","NE",2012,"ypg",0
"175","Aaron Hernandez","TE","NE",2012,"pr",33.87
"176","Adam Shaheen","TE","CHI",2017,"carries",0
"177","Adam Shaheen","TE","CHI",2017,"rushing_yards",0
"178","Adam Shaheen","TE","CHI",2017,"rushing_tds",0
"179","Adam Shaheen","TE","CHI",2017,"rushing_fumbles",0
"180","Adam Shaheen","TE","CHI",2017,"rushing_fumbles_lost",0
"181","Adam Shaheen","TE","CHI",2017,"rushing_first_downs",0
"182","Adam Shaheen","TE","CHI",2017,"rushing_2pt_conversions",0
"183","Adam Shaheen","TE","CHI",2017,"receptions",12
"184","Adam Shaheen","TE","CHI",2017,"targets",14
"185","Adam Shaheen","TE","CHI",2017,"receiving_yards",127
"186","Adam Shaheen","TE","CHI",2017,"receiving_tds",3
"187","Adam Shaheen","TE","CHI",2017,"receiving_fumbles",0
"188","Adam Shaheen","TE","CHI",2017,"receiving_fumbles_lost",0
"189","Adam Shaheen","TE","CHI",2017,"receiving_air_yards",95
"190","Adam Shaheen","TE","CHI",2017,"receiving_yards_after_catch",49
"191","Adam Shaheen","TE","CHI",2017,"receiving_first_downs",8
"192","Adam Shaheen","TE","CHI",2017,"receiving_2pt_conversions",0
