"","name","position","team","season","stat_type","stats"
"87","A.J. Dillon","RB","GB",2022,"receiving_2pt_conversions",0
"88","A.J. Dillon","RB","GB",2022,"target_share",1.3399737
"89","A.J. Dillon","RB","GB",2022,"air_yards_share",0.08740127
"90","A.J. Dillon","RB","GB",2022,"fantasy_points",139.6
"91","A.J. Dillon","RB","GB",2022,"fantasy_points_ppr",167.6
"92","A.J. Dillon","RB","GB",2022,"total_yards",976
"93","A.J. Dillon","RB","GB",2022,"games",17
"94","A.J. Dillon","RB","GB",2022,"touches",214
"95","A.J. Dillon","RB","GB",2022,"rush_td_percentage",0.038
"96","A.J. Dillon","RB","GB",2022,"rec_td_percentage",0
"97","A.J. Dillon","RB","GB",2022,"total_tds",7
"98","A.J. Dillon","RB","GB",2022,"td_percentage",0.033
"99","A.J. Dillon","RB","GB",2022,"pass_ypg",0
"100","A.J. Dillon","RB","GB",2022,"rush_ypg",45.29411765
"101","A.J. Dillon","RB","GB",2022,"rec_ypg",12.11764706
"102","A.J. Dillon","RB","GB",2022,"ppg",8.211765065
"103","A.J. Dillon","RB","GB",2022,"ppr_ppg",9.858823888
"104","A.J. Dillon","RB","GB",2022,"ypg",0
"105","A.J. Dillon","RB","GB",2022,"pr",33.87
"106","Aaron Jones","RB","GB",2017,"carries",81
"107","Aaron Jones","RB","GB",2017,"rushing_yards",448
"108","Aaron Jones","RB","GB",2017,"rushing_tds",4
"109","Aaron Jones","RB","GB",2017,"rushing_fumbles",0
"110","Aaron Jones","RB","GB",2017,"rushing_fumbles_lost",0
"111","Aaron Jones","RB","GB",2017,"rushing_first_downs",21
"112","Aaron Jones","RB","GB",2017,"rushing_2pt_conversions",0
"113","Aaron Jones","RB","GB",2017,"receptions",9
"114","Aaron Jones","RB","GB",2017,"targets",18
"115","Aaron Jones","RB","GB",2017,"receiving_yards",22
"116","Aaron Jones","RB","GB",2017,"receiving_tds",0
"117","Aaron Jones","RB","GB",2017,"receiving_fumbles",0
"118","Aaron Jones","RB","GB",2017,"receiving_fumbles_lost",0
"119","Aaron Jones","RB","GB",2017,"receiving_air_yards",-5
"120","Aaron Jones","RB","GB",2017,"receiving_yards_after_catch",30
"121","Aaron Jones","RB","GB",2017,"receiving_first_downs",2
"122","Aaron Jones","RB","GB",2017,"receiving_2pt_conversions",0
"123","Aaron Jones","RB","GB",2017,"target_share",0.5635796
"124","Aaron Jones","RB","GB",2017,"air_yards_share",-0.022039453
"125","Aaron Jones","RB","GB",2017,"fantasy_points",71
"126","Aaron Jones","RB","GB",2017,"fantasy_points_ppr",80
"127","Aaron Jones","RB","GB",2017,"total_yards",470
"128","Aaron Jones","RB","GB",2017,"games",10
"129","Aaron Jones","RB","GB",2017,"touches",90
"130","Aaron Jones","RB","GB",2017,"rush_td_percentage",0.049
"131","Aaron Jones","RB","GB",2017,"rec_td_percentage",0
"132","Aaron Jones","RB","GB",2017,"total_tds",4
"133","Aaron Jones","RB","GB",2017,"td_percentage",0.044
"134","Aaron Jones","RB","GB",2017,"pass_ypg",0
"135","Aaron Jones","RB","GB",2017,"rush_ypg",44.8
"136","Aaron Jones","RB","GB",2017,"rec_ypg",2.2
"137","Aaron Jones","RB","GB",2017,"ppg",7.1
"138","Aaron Jones","RB","GB",2017,"ppr_ppg",8
"139","Aaron Jones","RB","GB",2017,"ypg",0
"140","Aaron Jones","RB","GB",2017,"pr",33.87
"141","Aaron Jones","RB","GB",2018,"carries",133
"142","Aaron Jones","RB","GB",2018,"rushing_yards",728
"143","Aaron Jones","RB","GB",2018,"rushing_tds",8
"144","Aaron Jones","RB","GB",2018,"rushing_fumbles",1
"145","Aaron Jones","RB","GB",2018,"rushing_fumbles_lost",1
"146","Aaron Jones","RB","GB",2018,"rushing_first_downs",41
"147","Aaron Jones","RB","GB",2018,"rushing_2pt_conversions",0
"148","Aaron Jones","RB","GB",2018,"receptions",26
"149","Aaron Jones","RB","GB",2018,"targets",35
"150","Aaron Jones","RB","GB",2018,"receiving_yards",206
"151","Aaron Jones","RB","GB",2018,"receiving_tds",1
"152","Aaron Jones","RB","GB",2018,"receiving_fumbles",0
"153","Aaron Jones","RB","GB",2018,"receiving_fumbles_lost",0
"154","Aaron Jones","RB","GB",2018,"receiving_air_yards",9
"155","Aaron Jones","RB","GB",2018,"receiving_yards_after_catch",221
"156","Aaron Jones","RB","GB",2018,"receiving_first_downs",12
"157","Aaron Jones","RB","GB",2018,"receiving_2pt_conversions",0
"158","Aaron Jones","RB","GB",2018,"target_share",1.0636772
"159","Aaron Jones","RB","GB",2018,"air_yards_share",0.019217081
"160","Aaron Jones","RB","GB",2018,"fantasy_points",145.4
"161","Aaron Jones","RB","GB",2018,"fantasy_points_ppr",171.4
"162","Aaron Jones","RB","GB",2018,"total_yards",934
"163","Aaron Jones","RB","GB",2018,"games",12
"164","Aaron Jones","RB","GB",2018,"touches",159
"165","Aaron Jones","RB","GB",2018,"rush_td_percentage",0.06
"166","Aaron Jones","RB","GB",2018,"rec_td_percentage",0.038
"167","Aaron Jones","RB","GB",2018,"total_tds",9
"168","Aaron Jones","RB","GB",2018,"td_percentage",0.057
"169","Aaron Jones","RB","GB",2018,"pass_ypg",0
"170","Aaron Jones","RB","GB",2018,"rush_ypg",60.66666667
"171","Aaron Jones","RB","GB",2018,"rec_ypg",17.16666667
"172","Aaron Jones","RB","GB",2018,"ppg",12.11666616
"173","Aaron Jones","RB","GB",2018,"ppr_ppg",14.28333282
"174","Aaron Jones","RB","GB",2018,"ypg",0
"175","Aaron Jones","RB","GB",2018,"pr",33.87
"176","Aaron Jones","RB","GB",2019,"carries",236
"177","Aaron Jones","RB","GB",2019,"rushing_yards",1084
"178","Aaron Jones","RB","GB",2019,"rushing_tds",16
"179","Aaron Jones","RB","GB",2019,"rushing_fumbles",2
"180","Aaron Jones","RB","GB",2019,"rushing_fumbles_lost",1
"181","Aaron Jones","RB","GB",2019,"rushing_first_downs",55
"182","Aaron Jones","RB","GB",2019,"rushing_2pt_conversions",0
"183","Aaron Jones","RB","GB",2019,"receptions",49
"184","Aaron Jones","RB","GB",2019,"targets",68
"185","Aaron Jones","RB","GB",2019,"receiving_yards",474
"186","Aaron Jones","RB","GB",2019,"receiving_tds",3
"187","Aaron Jones","RB","GB",2019,"receiving_fumbles",1
"188","Aaron Jones","RB","GB",2019,"receiving_fumbles_lost",1
"189","Aaron Jones","RB","GB",2019,"receiving_air_yards",186
"190","Aaron Jones","RB","GB",2019,"receiving_yards_after_catch",437
"191","Aaron Jones","RB","GB",2019,"receiving_first_downs",18
"192","Aaron Jones","RB","GB",2019,"receiving_2pt_conversions",0
"193","Aaron Jones","RB","GB",2019,"target_share",1.9958992
"194","Aaron Jones","RB","GB",2019,"air_yards_share",0.60438246
"195","Aaron Jones","RB","GB",2019,"fantasy_points",265.8
"196","Aaron Jones","RB","GB",2019,"fantasy_points_ppr",314.8
"197","Aaron Jones","RB","GB",2019,"total_yards",1558
"198","Aaron Jones","RB","GB",2019,"games",16
"199","Aaron Jones","RB","GB",2019,"touches",285
"200","Aaron Jones","RB","GB",2019,"rush_td_percentage",0.068
"201","Aaron Jones","RB","GB",2019,"rec_td_percentage",0.061
"202","Aaron Jones","RB","GB",2019,"total_tds",19
"203","Aaron Jones","RB","GB",2019,"td_percentage",0.067
"204","Aaron Jones","RB","GB",2019,"pass_ypg",0
"205","Aaron Jones","RB","GB",2019,"rush_ypg",67.75
"206","Aaron Jones","RB","GB",2019,"rec_ypg",29.625
"207","Aaron Jones","RB","GB",2019,"ppg",16.61249924
"208","Aaron Jones","RB","GB",2019,"ppr_ppg",19.67499924
"209","Aaron Jones","RB","GB",2019,"ypg",0
"210","Aaron Jones","RB","GB",2019,"pr",33.87
"211","Aaron Jones","RB","GB",2020,"carries",201
"212","Aaron Jones","RB","GB",2020,"rushing_yards",1104
"213","Aaron Jones","RB","GB",2020,"rushing_tds",9
"214","Aaron Jones","RB","GB",2020,"rushing_fumbles",1
"215","Aaron Jones","RB","GB",2020,"rushing_fumbles_lost",0
